id,code,name
294,ART 114,Basic Drawing
295,ART 121,Intro to Sculpture: Metal
296,ART 130,Painting Basics
297,ART 132,Introduction to Graphic Design
298,ART 136,B&W Photo Capturing Light
299,ART 138,Digital Photography
300,ART 142,Intro Documentary Filmmaking
300,FILM 162,Intro Documentary Filmmaking
301,ART 145,Introduction to Digital Video
302,ART 185,Principles of Animation
303,ART 224,Figure Drawing
304,ART 235,Dance Theater
304,THST 235,Dance Theater
305,ART 264,Typography!
306,ART 265,"Expression,Structure,Sequence"
307,ART 266,History of Graphic Design
308,ART 288,The Itinerant Image
309,ART 301,Critical Theory in the Studio
310,ART 323,Paint
310,HSAR 478,Paint
311,ART 331,Intermediate Painting
312,ART 338,IntermediateDigitalPhotography
313,ART 341,IntermedFilmWriting &Directing
313,FILM 355,IntermedFilmWriting &Directing
314,ART 342,Intermed DocumentaryFilmmaking
314,FILM 356,Intermed DocumentaryFilmmaking
315,ART 369,"Interactive Design, Internet"
316,ART 371,Sound Art
316,MUSI 370,Sound Art
317,ART 379,"Form For Content, View Camera"
318,ART 433,PaintingStudio:Space&Abstractn
319,ART 443,AdvancedFilmWriting&Directing
319,FILM 484,AdvancedFilmWriting&Directing
320,ART 457,Printmaking II
321,ART 469,AdvDesignHistoryEditInterpret
322,ART 472,Independent Projects
323,ART 496,Senior Project II
324,ART 515,Colorspace
325,ART 518,"Painting, Theory"
326,ART 676,Weird Things
327,ART 678,Doing
328,ART 680,Performance: after feeling
329,ART 710,3rd-yr. Design Studio
330,ART 720,1st-yr. Design Studio
331,ART 743,Letterform Sequence
332,ART 751,Print to Screen
333,ART 828,Prob. Photo. Criticism
334,ART 871,Workerism
335,ART 914,Artists in the “Market” place
336,ASL 120,American Sign Language II
337,ASL 140,American Sign Language IV
338,ASTR 120,Galaxies and the Universe
339,ASTR 130,Origins&SearchForLifeInUnivrse
340,ASTR 170,Introduction to Cosmology
341,ASTR 310,Galactic&ExtragalactAstronomy
342,ASTR 343,"Gravity,Astrophysics&Cosmology"
342,PHYS 343,"Gravity,Astrophysics&Cosmology"
343,ASTR 356,Astrostatistics & Data Mining
343,ASTR 556,Astrostatistics & Data Mining
343,PHYS 356,Astrostatistics & Data Mining
344,ASTR 375,Exoplanets
344,ASTR 575,Exoplanets
345,ASTR 380,Stellar Populations
345,ASTR 510,Stellar Populations
346,ASTR 418,Stellar Dynamics
346,ASTR 518,Stellar Dynamics
347,ASTR 420,ComputatnlMethods:Astrophysics
347,ASTR 520,ComputatnlMethods:Astrophysics
347,G&G 538,ComputatnlMethods:Astrophysics
348,ASTR 430,Galaxies
348,ASTR 530,Galaxies
349,ASTR 472,Independ Project in Astronomy
350,ASTR 491,Two-Term Senior Project
351,ASTR 492,One-Term Senior Project
352,ASTR 580,Research
353,ASTR 595,Astrophysical Flows
354,ASTR 711,Professional Seminar
355,B&BS 501,Responsible Conduct of Rsrch
356,B&BS 503,RCR Refresher for Sr BBS Stdnt
357,B&BS 680,Topics in Human Investigation
357,IMED 680,Topics in Human Investigation
358,BENG 249,Intro Biomedical Computation
359,BENG 351,Biotransport and Kinetics
359,CENG 351,Biotransport and Kinetics
359,ENAS 551,Biotransport and Kinetics
360,BENG 352,Biomedical Signals and Images
361,BENG 356L,Biomedical Engineering Lab
362,BENG 403,Economics&Science of Medicine
362,ECON 463,Economics&Science of Medicine
363,BENG 404,Medical Device Design
363,MENG 404,Medical Device Design
364,BENG 405,Biotech & the Developing World
364,ENAS 805,Biotech & the Developing World
364,EVST 415,Biotech & the Developing World
365,BENG 406,Medical Software Design
366,BENG 411,BioMEMS & Biomed Microdevices
366,ENAS 711,BioMEMS & Biomed Microdevices
367,BENG 435,Biomaterial-TissueInteractions
367,ENAS 535,Biomaterial-TissueInteractions
367,PATH 630,Biomaterial-TissueInteractions
368,BENG 449,Biomedical Data Analysis
368,ENAS 549,Biomedical Data Analysis
369,BENG 455,Vascular Mechanics
369,ENAS 555,Vascular Mechanics
370,BENG 456,Molecular&CellularBiomechanics
370,ENAS 556,Molecular&CellularBiomechanics
371,BENG 458,MultiscaleModlsOfBiomechSystms
371,ENAS 758,MultiscaleModlsOfBiomechSystms
373,BENG 467,SystemsBiology ofCellSignaling
373,ENAS 567,SystemsBiology ofCellSignaling
374,BENG 468,Topics in ImmunoEngineering
374,ENAS 568,Topics in ImmunoEngineering
375,BENG 472,Special Projects
376,BENG 474,Senior Project
377,BENG 485,Fundamentals of Neuroimaging
377,ENAS 585,Fundamentals of Neuroimaging
378,BIOL 101,Biochemistry and Biophysics
379,BIOL 102,Cell Bio
380,BIOL 103,Genetics and Development
381,BIOL 104,Ecology & Evolutionary Biology
382,BIS 505,Biostatistics in PH II
383,BIS 526,Seminar in Biostatistics
384,BIS 575,Intro to Regulatory Affairs
385,BIS 600,Directed Readings BIS
386,BIS 610,Appl Area Readings for Q Exams
387,BIS 628,Longitudinal&MultilevAnalysis
388,BIS 630,Applied Survival Analysis
389,BIS 643,Theory of Survival Analysis
